iter	Logloss
114	0.4176850749
115	0.4167479252
116	0.4162055694
117	0.415599131
118	0.4150040561
119	0.4144321686
120	0.4136677074
121	0.4130409133
122	0.4123735414
123	0.4119601077
124	0.4114698627
125	0.410745448
126	0.4102754277
127	0.4095779963
128	0.4091442577
129	0.4087390352
130	0.408289263
131	0.4078020668
132	0.4071042583
133	0.4064415495
134	0.4060054307
135	0.4056423114
136	0.405232895
137	0.4045149111
138	0.4040133502
139	0.4034651368
140	0.4029161623
141	0.4024889245
142	0.4023275392
143	0.4022194291
144	0.4016942549
145	0.401199137
146	0.4006326649
147	0.4000365471
148	0.3994913293
149	0.3991080471
150	0.3987017433
151	0.398356603
152	0.3980687528
153	0.3975401277
154	0.3972774482
155	0.3966811966
156	0.3960753986
157	0.3956936271
158	0.395127217
159	0.3947614333
160	0.3944003541
161	0.3941763038
162	0.3935231115
163	0.3932025746
164	0.3930924428
165	0.3925270639
166	0.3923576545
167	0.3918740846
168	0.3913420364
169	0.3908880797
170	0.3904163974
171	0.3898495962
172	0.389531763
173	0.3893242028
174	0.389085758
175	0.3890457027
176	0.3885490163
177	0.3883969169
178	0.3879068821
179	0.3877277927
180	0.3874002717
181	0.3872418356
182	0.3868528412
183	0.3865570748
184	0.3861837438
185	0.385706962
186	0.3854533396
187	0.3852915005
188	0.3849755594
189	0.3849062242
190	0.3844975155
191	0.38419181
192	0.3838564641
193	0.3833675966
194	0.3830054463
195	0.3826705708
196	0.3822692754
197	0.3820327338
198	0.381764068
199	0.3815315573
200	0.3813165652
201	0.3810702416
202	0.3808615741
203	0.380601488
204	0.3804534027
205	0.3801243149
206	0.379954302
207	0.379633693
208	0.3793494129
209	0.3788819699
210	0.3784997374
211	0.3783974303
212	0.378156806
213	0.3779312038
214	0.3778434134
215	0.3775056666
216	0.3772836972
217	0.3770085943
218	0.3767430844
219	0.3765257686
220	0.3762653392
221	0.3759805083
222	0.3757651994
223	0.3756205734
224	0.3753314096
225	0.3750069376
226	0.3746999799
227	0.3744166567
228	0.3739970096
229	0.3736353178
230	0.3733593712
231	0.373219157
232	0.3730558066
233	0.3727198774
234	0.3725653403
235	0.3721857293
236	0.3720660939
237	0.371817685
238	0.3717039486
239	0.3715987238
240	0.3712982185
241	0.3709373652
242	0.3707910364
243	0.370759223
244	0.3704130874
245	0.3701323725
246	0.3698713045
247	0.3697596047
248	0.3696005892
249	0.3694497732
250	0.3691522817
251	0.3689861741
252	0.3688377835
253	0.3684613035
254	0.3682881795
255	0.3679211754
256	0.3678226628
257	0.3674504192
258	0.3671976956
259	0.3668808355
260	0.3666497323
261	0.3664904043
262	0.3660671361
263	0.3659676182
264	0.3659255145
265	0.3657000639
266	0.3655370554
267	0.3654286065
268	0.3652728592
269	0.3650036236
270	0.3649293057
271	0.3645888046
272	0.3644246137
273	0.3642421059
274	0.3640342754
275	0.3640176569
276	0.3637753443
277	0.3635268149
278	0.3632760441
279	0.3631306153
280	0.3631115087
281	0.3628800032
282	0.3626623001
283	0.362435779
284	0.3623365565
285	0.3620705846
286	0.3618638275
287	0.3615570494
288	0.3613743679
289	0.3612122054
290	0.3611793796
291	0.3610438317
292	0.3609167572
293	0.3608810435
294	0.3606821388
295	0.3606209257
296	0.3605192736
297	0.3605038614
298	0.3604195337
299	0.3602883952
300	0.3600978856
301	0.359856276
302	0.3596472787
303	0.3594756016
304	0.3592747815
305	0.3591083351
306	0.3589967128
307	0.3589888655
308	0.3587969023
309	0.3586246875
310	0.3584735645
311	0.3583480647
312	0.3581469915
313	0.3580171252
314	0.3579769009
315	0.3579214734
316	0.357645321
317	0.3576211247
318	0.3575695677
319	0.3574650597
320	0.3572555705
321	0.3570516747
322	0.3569488035
323	0.3569249362
324	0.3566148912
325	0.3565371499
326	0.3564014193
327	0.3563438145
328	0.356201421
329	0.3560981257
330	0.3560694637
331	0.3559737125
332	0.3557928376
333	0.3556245313
334	0.3554128183
335	0.35519229
336	0.3549948134
337	0.3548742863
338	0.3547618227
339	0.3547042259
340	0.3545800398
341	0.3543425989
342	0.3540293931
343	0.3537232847
344	0.3533610544
345	0.3531191065
346	0.3530532599
347	0.3528824454
348	0.3526601327
349	0.352577171
350	0.3524864747
351	0.352255554
352	0.352004457
353	0.3518065861
354	0.3515045233
355	0.3513398029
356	0.3512386411
357	0.3511638881
358	0.3509937485
359	0.3508426936
360	0.3504686538
361	0.3501307997
362	0.3498908353
363	0.3498053504
364	0.3497149444
365	0.3496313211
366	0.3494533466
367	0.3492810675
368	0.3491440302
369	0.3490217168
370	0.3489025865
371	0.348834586
372	0.348744679
373	0.3486234045
374	0.3485760574
375	0.3484870938
376	0.3483977505
377	0.3482917786
378	0.3482466353
379	0.3480771081
380	0.3479789883
381	0.3478589053
382	0.3477698192
383	0.3476441758
384	0.3474587429
385	0.3472629366
386	0.3470680679
387	0.3469489421
388	0.346817924
389	0.3466977162
390	0.3465110842
391	0.3463370088
392	0.3462447486
393	0.3461821321
394	0.3460334385
395	0.3459434408
396	0.3459167624
397	0.3457958561
398	0.345594187
399	0.3453517458
400	0.3452519378
401	0.3451735405
402	0.3450001676
403	0.344846007
404	0.3448143676
405	0.3445738262
406	0.3443251444
407	0.3443040939
408	0.3441998132
409	0.3439855596
410	0.343775557
411	0.3436852236
412	0.343675243
413	0.3436377038
414	0.3436074485
415	0.3434581839
416	0.3432806601
417	0.3432308719
418	0.3431003736
419	0.3430136836
420	0.3428880883
421	0.3427447706
422	0.342685772
423	0.3426109348
424	0.3425288057
425	0.3423890201
426	0.3422648019
427	0.3421994452
428	0.3419497107
429	0.3417237742
430	0.3415262198
431	0.341446769
432	0.3413727079
433	0.3412472225
434	0.3411096755
435	0.3411007825
436	0.3409026285
437	0.3408767993
438	0.3408123546
439	0.3405583911
440	0.3403524562
441	0.3403330854
442	0.3402516011
443	0.3400232916
444	0.3399482124
445	0.3398736154
446	0.3397908474
447	0.3396984367
448	0.3395767871
449	0.3394375485
450	0.3393754764
451	0.3393128093
452	0.3392769328
453	0.3391459496
454	0.3389908306
455	0.3389472127
456	0.3388932931
457	0.3387026095
458	0.338634269
459	0.3385156556
460	0.3384698136
461	0.3382678209
462	0.3382029352
463	0.3381886949
464	0.3381091399
465	0.3380147452
466	0.3379469518
467	0.3378573742
468	0.3376256759
469	0.3374347482
470	0.3373793304
471	0.3372791848
472	0.3371806642
473	0.3371410287
474	0.3370443465
475	0.3368652765
476	0.3366372459
477	0.3366034831
478	0.3364241315
479	0.3363688266
480	0.3362171714
481	0.3359222263
482	0.3358451961
483	0.3358092332
484	0.3356508659
485	0.3354783497
486	0.3354160005
487	0.3353541959
488	0.3353340732
489	0.3352177137
490	0.3350343652
491	0.3349574245
492	0.3348975935
493	0.3347394736
494	0.3346830827
495	0.3345848115
496	0.33448667
497	0.3344343122
498	0.3343667574
499	0.3342442309
500	0.3340680267
501	0.3339101516
502	0.3338689545
503	0.3337181255
504	0.3336792128
505	0.3335948273
506	0.3335264686
507	0.3333786758
508	0.3332019029
509	0.3330988843
510	0.3328793061
511	0.3327834458
512	0.3327699582
513	0.3327213935
514	0.3326428426
515	0.3325355296
516	0.3324439496
517	0.3323192218
518	0.3319828933
519	0.3318604008
520	0.3318580823
521	0.3317635124
522	0.3317255935
523	0.3316478146
524	0.3315701115
525	0.3314686488
526	0.3312712171
527	0.3311906483
528	0.3310808188
529	0.3309262864
530	0.3307953866
531	0.3307101404
532	0.3305580797
533	0.3305333466
534	0.3304311127
535	0.3302415617
536	0.330048978
537	0.3300325636
538	0.3298501364
539	0.3297148674
540	0.3296797079
541	0.3295936522
542	0.329145872
543	0.3289717755
544	0.3288254588
545	0.3287323024
546	0.3286305553
547	0.3285504072
548	0.328403174
549	0.3282800332
550	0.3282394357
551	0.3281286166
552	0.327996737
553	0.3278724522
554	0.3277941462
555	0.3276821814
556	0.3276125852
557	0.3274498964
558	0.3272762738
559	0.3272080848
560	0.3271138924
561	0.3270819647
562	0.3269192278
563	0.3268920139
564	0.3267872391
565	0.3267246349
566	0.3266354704
567	0.326624266
568	0.3264764024
569	0.3262650782
570	0.3262391295
571	0.3262062022
572	0.3260952729
573	0.3260285242
574	0.3259797377
575	0.3259185714
576	0.3258823618
577	0.3257671581
578	0.3255731366
579	0.3254813324
580	0.3254645963
581	0.3253896295
582	0.3253105735
583	0.3251465545
584	0.3250891957
585	0.3248567727
586	0.3247616622
587	0.3246894404
588	0.3244069271
589	0.3242771646
590	0.3242518828
591	0.3241782809
592	0.3240224196
593	0.3239839459
594	0.3239148429
595	0.3237591647
596	0.3234530933
597	0.3232494592
598	0.3231285715
599	0.3231231907
600	0.3230296008
601	0.3228986302
602	0.3227629629
603	0.3225720427
604	0.3225010924
605	0.322366497
606	0.3222888621
607	0.322200821
608	0.3221377721
609	0.3220405517
610	0.321950613
611	0.3216940138
612	0.3215737861
613	0.3215658885
614	0.3213361034
615	0.3212235887
616	0.321062684
617	0.3209960211
618	0.3209241905
619	0.3208572972
620	0.3207006066
621	0.3206133
622	0.32055974
623	0.3203607662
624	0.3201936858
625	0.3200972613
626	0.3199699046
627	0.3198969548
628	0.3195893509
629	0.3194628466
630	0.3192682574
631	0.3192050391
632	0.3191607672
633	0.3190833878
634	0.3190761587
635	0.3190256609
636	0.3189060863
637	0.31879807
638	0.3187510979
639	0.3186528096
640	0.3185535106
641	0.3184561679
642	0.3183465485
643	0.3182258274
644	0.3181162735
645	0.3181081037
646	0.3180167596
647	0.3179318622
648	0.317842779
649	0.31781618
650	0.3176953416
651	0.3176193658
652	0.3175359953
653	0.3173931309
654	0.3173150167
655	0.3172056059
656	0.3171401155
657	0.3169277905
658	0.3168313409
659	0.3167500885
660	0.3166712719
661	0.3164624511
662	0.3162830549
663	0.3162132636
664	0.3160099609
665	0.3158470268
666	0.3157864207
667	0.3157007995
668	0.3156243958
669	0.3153948139
670	0.3153525181
671	0.3152590129
672	0.3152061354
673	0.315081786
674	0.3149599299
675	0.3148914292
676	0.3148018142
677	0.3147016365
678	0.3146492784
679	0.3145204431
680	0.3144619662
681	0.3143970487
682	0.31415086
683	0.3141111839
684	0.314082811
685	0.3140102912
686	0.3137320817
687	0.3136362075
688	0.3136023538
689	0.313544223
690	0.313481633
691	0.3133361857
692	0.3132520971
693	0.3130996567
694	0.3130559228
695	0.3128418314
696	0.3127636694
697	0.3124476801
698	0.3123371198
699	0.3121786595
700	0.312094371
701	0.3120753064
702	0.3120223224
703	0.3118928541
704	0.3118205779
705	0.3117542876
706	0.3116820238
707	0.3116164504
708	0.3115862178
709	0.3114926032
710	0.3111366665
711	0.3110581193
712	0.3110379541
713	0.3109164709
714	0.3107967517
715	0.3107426644
716	0.3106789648
717	0.3105954566
718	0.310488943
719	0.3103934387
720	0.3101769291
721	0.3100944507
722	0.310025024
723	0.3099664639
724	0.3099113486
725	0.3097496908
726	0.3096700289
727	0.3094621325
728	0.309437005
729	0.3093160723
730	0.3092353018
731	0.3091619591
732	0.3090575214
733	0.3089385043
734	0.3087844928
735	0.3086554925
736	0.3086378823
737	0.3085354436
738	0.3084620585
739	0.3084146455
740	0.3083682603
741	0.3083141243
742	0.3081305553
743	0.3080593163
744	0.3078533286
745	0.3078182088
746	0.3077706686
747	0.307568831
748	0.3075385448
749	0.3074866176
750	0.3073680714
751	0.3073015516
752	0.3072188249
753	0.3071257584
754	0.3070549012
755	0.30691014
756	0.3068434884
757	0.3067077551
758	0.3066336374
759	0.3064861555
760	0.3064628365
761	0.3064237446
762	0.3063732624
763	0.3063013349
764	0.3062898622
765	0.3062601102
766	0.3061061421
767	0.3058050199
768	0.3057833522
769	0.3055927328
770	0.3053634841
771	0.3052771494
772	0.3050253175
773	0.3047715085
774	0.304648119
775	0.3043742222
776	0.3041892979
777	0.30404815
778	0.3039670929
779	0.3038199421
780	0.3036594825
781	0.3036280078
782	0.3035515694
783	0.3034905942
784	0.3034241536
785	0.3033159145
786	0.3032757299
787	0.3030475925
788	0.3028709431
789	0.3027301784
790	0.3026489197
791	0.3026171937
792	0.3025523861
793	0.3024096709
794	0.3022175686
795	0.302144293
796	0.3021301722
797	0.3020890685
798	0.3019158933
799	0.3018350572
800	0.301782232
801	0.3017216678
802	0.3016518814
803	0.3015931859
804	0.3014890682
805	0.3012706123
806	0.3012008802
807	0.3011752198
808	0.301146891
809	0.3010619816
810	0.3010211324
811	0.3009069865
812	0.3008330739
813	0.3005981549
814	0.3004764308
815	0.3003346513
816	0.3002729433
817	0.3001953599
818	0.3001606101
819	0.29997891
820	0.2998608171
821	0.2998081674
822	0.2997182456
823	0.2996413875
824	0.2996002185
825	0.2995783127
826	0.2995082267
827	0.299402941
828	0.2991657404
829	0.2990959763
830	0.2990070471
831	0.2989552709
832	0.2988637318
833	0.2987601508
834	0.2986652953
835	0.2986089587
836	0.2985523602
837	0.2982887061
838	0.2982487214
839	0.2981690862
840	0.2978383939
841	0.297719751
842	0.2976593311
843	0.2976352839
844	0.2976069845
845	0.2974804374
846	0.2973267299
847	0.2972708665
848	0.2971931234
849	0.2971293669
850	0.2970491276
851	0.2967684094
852	0.2965502782
853	0.2964691841
854	0.2963908376
855	0.2963480666
856	0.2962618168
857	0.2959640484
858	0.2957519995
859	0.2956883619
860	0.295395134
861	0.2953398381
862	0.2952554432
863	0.2951921554
864	0.2951437327
865	0.295084811
866	0.2950301212
867	0.2948611407
868	0.2947366751
869	0.2946798699
870	0.2945745416
871	0.2943898383
872	0.2943397088
873	0.2942905987
874	0.2942628861
875	0.2941936612
876	0.2941183109
877	0.2940469128
878	0.2939667462
879	0.2939183931
880	0.2937616014
881	0.2936955643
882	0.2934115499
883	0.2933201288
884	0.2932774731
885	0.2931750737
886	0.2931364426
887	0.2930533347
888	0.2929778808
889	0.2928742827
890	0.2925883132
891	0.2925203816
892	0.2924622238
893	0.2923297644
894	0.2922497223
895	0.2922234208
896	0.2921707432
897	0.2921165724
898	0.2919637955
899	0.2919065208
900	0.2917647022
901	0.2917055943
902	0.2916608696
903	0.2916535728
904	0.2915098306
905	0.2914316573
906	0.2913032148
907	0.2912504217
908	0.2910520209
909	0.290971342
910	0.2908142597
911	0.2906267595
912	0.2905652096
913	0.2904321426
914	0.2903106412
915	0.2901940169
916	0.2901458024
917	0.2900969109
918	0.2898540817
919	0.2897996274
920	0.289736525
921	0.2896213003
922	0.2894484717
923	0.2893834422
924	0.2893049436
925	0.28925221
926	0.2892154589
927	0.2891322615
928	0.2889944229
929	0.288908519
930	0.2888426506
931	0.2887452791
932	0.2887249583
933	0.2885188058
934	0.2884515153
935	0.2883914086
936	0.2883668435
937	0.2880955451
938	0.2879043497
939	0.2878179395
940	0.2875841833
941	0.2873814396
942	0.2873083263
943	0.2872765782
944	0.2871374892
945	0.2870791209
946	0.2868881131
947	0.2868256223
948	0.286611359
949	0.2865235508
950	0.2862952168
951	0.2862292666
952	0.2860985633
953	0.2860013056
954	0.2858880996
955	0.285835769
956	0.2857271839
957	0.28568238
958	0.2856107291
959	0.2854929746
960	0.2853915655
961	0.2853377147
962	0.2852670047
963	0.2850444475
964	0.2849598888
965	0.2849106774
966	0.2848044445
967	0.2846012837
968	0.2844680625
969	0.2842936581
970	0.2841196126
971	0.2840492407
972	0.2839646445
973	0.283903082
974	0.2838337706
975	0.2836542852
976	0.2835030309
977	0.2833418634
978	0.2832667491
979	0.283220217
980	0.2831902956
981	0.2830724905
982	0.2830256388
983	0.2829470917
984	0.2828947622
985	0.2828469018
986	0.2826725719
987	0.2826209846
988	0.282465548
989	0.2821415508
990	0.281886472
991	0.2818023401
992	0.2817392758
993	0.2815920254
994	0.2815353834
995	0.2813837056
996	0.2811866776
997	0.2809416745
998	0.2807108941
999	0.2806513972
